sample_id,item_qid,preferred_label,serena_decision,blerina_decision,fabio_decision,serena_category,blerina_category,fabio_category,human_decision_majority,human_category_majority,adjudicated_final_label,adjudicated_final_category,adjudication_notes,llm_decision,llm_eventour_category,llm_confidence,llm_needs_review
ann_0042,Q112941560,Biblioteca Comunale Rionale Oglio,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0043,Q112941441,Biblioteca Comunale Rionale Parco Sempione,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0044,Q112941444,Biblioteca Comunale Rionale Quarto Oggiaro,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0045,Q112941561,Biblioteca Comunale Rionale S. Ambrogio,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0046,Q112941439,Biblioteca Comunale Rionale Sicilia,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.85,True
ann_0047,Q112941563,Biblioteca Comunale Rionale Tibaldi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0048,Q112941683,Biblioteca Comunale Rionale Zara,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0049,Q113515449,Biblioteca Franco Fornari del Centro milanese di psicoanalisi Cesare Musatti,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0050,Q113610837,Biblioteca Isimbardi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0051,Q113535862,Biblioteca Isola di Libri,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0052,Q113298710,"Biblioteca Matematica ""Giovanni Ricci"". Università degli Studi di Milano",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0053,Q113515445,Biblioteca Popolare della Fondazione Carlo Perini,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0054,Q113319457,Biblioteca San Raffaele,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0055,Q113319484,Biblioteca Scientifica della Fondazione don Carlo Gnocchi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.82,True
ann_0056,Q113319503,Biblioteca WOW,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.82,True
ann_0057,Q81172851,Biblioteca archeologica-Biblioteca d'arte-Centro di alti studi sulle arti visive - CASVA,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0058,Q113319453,Biblioteca avvocato Giorgio Ambrosoli dell'Ordine degli avvocati di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0059,Q113298721,Biblioteca d'Ateneo. Sede centrale. Università degli studi di Milano-Bicocca,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0060,Q113535855,Biblioteca dei trasporti e della mutualità Cesare Pozzo,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0061,Q113515443,Biblioteca del Centro Documentazione Biomedica di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0062,Q113515492,Biblioteca del Centro culturale protestante di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0063,Q113092722,Biblioteca del Centro di consultazione psico-pedagogica Villa Clerici,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0064,Q113298768,Biblioteca del Centro funzionale Raffaele Mattioli. Università degli Studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0065,Q113092725,Biblioteca del Centro missionario del Pontificio istituto missioni estere - PIME,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0066,Q113515451,Biblioteca del Centro studi carusiani,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0067,Q113319462,Biblioteca del Centro studi per la programmazione intercomunale dell'area metropolitana,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0068,Q113535856,Biblioteca del Circolo aziendale Siemens,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0069,Q113527482,Biblioteca del Circolo filologico milanese,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0070,Q17622730,Biblioteca del Consiglio regionale della Lombardia,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0071,Q113298709,"Biblioteca del Dipartimento di chimica inorganica, metallorganica e analitica. Università degli studi di Milano",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0072,Q113611872,Biblioteca del Dipartimento di diritto pubblico italiano e sovranazionale dell'Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0073,Q113611873,"Biblioteca del Dipartimento di scienze giuridiche ecclesiasticistiche, filosofico-sociologiche e penalistiche Cesare Beccaria dell'Università degli studi di Milano",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0074,Q113298734,"Biblioteca del Dipartimento di storia delle arti, della musica e dello spettacolo. Sezione discipline musicologiche e dello spettacolo. Università degli studi di Milano",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.76,True
ann_0075,Q125745409,Biblioteca del Gruppo archeologico milanese,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0076,Q113527484,Biblioteca del Libro parlato di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0077,Q113092739,Biblioteca del Monastero S. Benedetto,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0078,Q113092728,Biblioteca del Monastero S. Maria di Chiaravalle,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0079,Q113515478,Biblioteca del Museo Poldi Pezzoli. Sezione moderna,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0080,Q3639653,Biblioteca del Museo civico di storia naturale di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0081,Q113639764,Biblioteca del Museo delle Culture,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0082,Q113298752,Biblioteca del Polo San Paolo della Facoltà di medicina e chirurgia. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0083,Q113611868,Biblioteca del Polo di lingue e letterature straniere dell'Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0084,Q113298715,Biblioteca del Polo di lingue e letterature straniere. Centro studi Stati Uniti. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0085,Q113298728,Biblioteca del Polo di lingue e letterature straniere. Sezione di lingue e letterature iberiche e ibero-americane. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0086,Q113298729,Biblioteca del Polo di lingue e letterature straniere. sezione di Anglistica e di Comparatistica. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.86,True
ann_0087,Q113298727,Biblioteca del Polo di lingue e letterature straniere. sezione di Lingua e e letteratura francese e dei paesi francofoni. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0088,Q113298733,Biblioteca del Polo di lingue e letterature straniere. sezione di Lingue e letterature dell'Europa orientale. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0089,Q113319506,Biblioteca del Progetto Grafico c/o Centro di documentazione sul Progetto Grafico di AIAP (AIAP CDPG),exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0090,Q125745419,Biblioteca del Tribunale amministrativo regionale della Lombardia,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0091,Q3639651,Biblioteca del conservatorio Giuseppe Verdi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0092,Q113515480,Biblioteca dell'Accademia dei filodrammatici,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0093,Q113528704,Biblioteca dell'Accademia di belle arti di Brera,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0094,Q113515575,Biblioteca dell'Agenzia regionale per la protezione dell'ambiente. ARPA della Lombardia,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0095,Q113515448,Biblioteca dell'Archivio Storico dell'ASP Golgi-Redaelli di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0096,Q113092717,Biblioteca dell'Archivio capitolare di S. Ambrogio,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0097,Q113528875,Biblioteca dell'Area Stazione Sperimentale per le Industrie degli Oli e Grassi. INNOVHUB,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0098,Q113610831,Biblioteca dell'Associazione Italia Russia di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0099,Q113515484,Biblioteca dell'Associazione nazionale alpini. ANA,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0100,Q113515490,Biblioteca dell'Autorità di Regolazione per Energia Reti e Ambiente,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0101,Q113515436,Biblioteca dell'Ente Raccolta vinciana,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0102,Q113319459,Biblioteca dell'Ente nazionale italiano di unificazione,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0103,Q113610832,Biblioteca dell'ICOM - International Council of Museums. Comitato nazionale italiano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0104,Q113092724,Biblioteca dell'Istituto Leone XIII,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0105,Q113298726,Biblioteca dell'Istituto di diritto civile della Facoltà di giurisprudenza. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.85,True
ann_0106,Q113298725,Biblioteca dell'Istituto di diritto commerciale della Facoltà di giurisprudenza. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0107,Q113298742,Biblioteca dell'Istituto di filosofia e sociologia del diritto della Facoltà di giurisprudenza. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0108,Q113515475,Biblioteca dell'Istituto di matematica applicata e tecnologie informatiche del CNR,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0109,Q113298737,Biblioteca dell'Istituto di scienze economiche e statistiche della Facoltà di giurisprudenza. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0110,Q113298736,Biblioteca dell'Istituto di storia del diritto medievale e moderno della Facoltà di giurisprudenza. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0111,Q113687434,Biblioteca dell'Istituto milanese Martinitt e Stelline,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0112,Q113515468,Biblioteca dell'Istituto per l'energetica e le interfasi. ex IENI del CNR ora ICMATE,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0113,Q113515444,Biblioteca dell'Istituto per la Scienza e Tecnologia Dei Plasmi del Cnr,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0114,Q113515452,Biblioteca dell'Istituto per lo studio delle macromolecole del CNR,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0115,Q113515457,Biblioteca dell'Istituto permanente per lo studio e la diffusione del cinema d'animazione. ISCA,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0116,Q113319468,Biblioteca dell'Istituto stomatologico italiano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0117,Q113092730,Biblioteca dell'Istituto superiore di scienze religiose - ISSR,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0118,Q113714054,Biblioteca dell'Istituto universitario di scienze motorie di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0119,Q113319497,Biblioteca dell'Ordine degli architetti P.P.C. della provincia di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0120,Q113515458,Biblioteca dell'Organizzazione per la preparazione professionale degli insegnanti. OPPI,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0121,Q113535617,Biblioteca dell'Osservatorio astronomico di Brera,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0122,Q113535865,Biblioteca dell'Unione Italiana Vini,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0123,Q113515471,Biblioteca dell'Unione femminile nazionale,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0124,Q113319491,Biblioteca della Casa di riposo per musicisti Fondazione Giuseppe Verdi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0125,Q113610829,Biblioteca della Corte di appello di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0126,Q113092731,Biblioteca della Facoltà teologica dell'Italia settentrionale,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0127,Q113515482,Biblioteca della Fondazione Anna Kuliscioff,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0128,Q113319499,Biblioteca della Fondazione Elvira Badaracco,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0129,Q113319489,Biblioteca della Fondazione Eni Enrico Mattei,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0130,Q113515473,Biblioteca della Fondazione Felicita ed Enrico Bignaschi e figli,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0131,Q113610841,Biblioteca della Fondazione Floriani,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.8,True
ann_0132,Q113535859,Biblioteca della Fondazione Mansutti,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.82,True
ann_0133,Q113092729,Biblioteca della Fondazione culturale S. Fedele,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0134,Q113515477,Biblioteca della Nuova accademia di belle arti. NABA,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0135,Q113091635,Biblioteca della Parrocchia di S. Babila,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0136,Q113092738,Biblioteca della Scuola Beato Angelico,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0137,Q113515459,Biblioteca della Scuola musicale di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0138,Q125745415,Biblioteca della Sezione di Scienze economiche e diritto tributario dell'Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0139,Q113515472,Biblioteca della Società numismatica italiana,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0140,Q113319472,Biblioteca della Società prodotti antibiotici,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0141,Q113525909,"Biblioteca della Soprintendenza Archeologia belle arti e paesaggio per le province di Como, Lecco, Monza e Brianza, Pavia, Sondrio e Varese",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0142,Q113610828,"Biblioteca della Soprintendenza Archeologia, belle arti e paesaggio per la città metropolitana di Milano. Architettura",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.82,True
ann_0143,Q113378311,Biblioteca della Soprintendenza Archivistica e bibliografica della Lombardia,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0144,Q113515469,Biblioteca della Triennale Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0145,Q113515440,Biblioteca della montagna Luigi Gabba,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0146,Q113091634,Biblioteca della parrocchia Ss. Martiri Nazaro e Celso,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0147,Q113086135,Biblioteca delle Raccolte Artistiche del Castello Sforzesco,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0148,Q113319464,"Biblioteca di Design, Comunicazione e Arti Visive. IED - Istituto Europeo di Design",exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0149,Q113319495,Biblioteca di Morando della Fondazione Cineteca Italiana,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0150,Q113515460,Biblioteca di Politeia Centro per la ricerca e la formazione in politica e etica,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0151,Q113298763,Biblioteca di Scienze dell'antichità e filologia moderna. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0152,Q113298751,Biblioteca di Scienze della storia e della documentazione storica. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0153,Q113468899,Biblioteca di ateneo Carlo Bo. Libera università di lingue e comunicazione. IULM,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0154,Q113298765,Biblioteca di scienze dell'antichità e filologia moderna. Sezione di egittologia. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0155,Q113298764,Biblioteca di scienze dell'antichità e filologia moderna. Sezione di papirologia. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0156,Q113298713,Biblioteca di scienze politiche Enrica Collotti Pischel. Università degli studi di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0157,Q113091633,Biblioteca e Archivio della Parrocchia prepositurale S. Francesco di Paola,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0158,Q113092719,Biblioteca francescano-cappuccina provinciale,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.81,True
ann_0159,Q28739821,Biblioteca freshpages MHMK di Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.72,True
ann_0160,Q113610838,Biblioteca giuridica della Giunta regionale della Lombardia,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0161,Q113610839,Biblioteca privata Massimo Gentili-Tedeschi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0162,Q111698005,Biblioteca provinciale dei Carmelitani scalzi,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0163,Q113319450,Biblioteca tecnico scientifica Pirelli,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0164,Q60838261,Bicocca 307,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0165,Q24702775,Birrificio Lambrate,keep_poi,exclude,exclude,special_interest_attraction,,,exclude,,,,,candidate_exception,,0.78,True
ann_0166,Q18222859,Borgo Pirelli,keep_context,exclude,keep_context,,,,keep_context,,,,,candidate_exception,,0.78,True
ann_0167,Q81172524,Brandolini R. Metalli srl,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.81,True
ann_0168,Q111413059,Bulgari Hotel Milano,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.75,True
ann_0169,Q81172531,C. De Giovanni sas,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.0,True
ann_0170,Q81172555,Camera di commercio,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0171,Q26258023,Casa Bellotti,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0172,Q28669494,Casa Berri-Meregalli,keep_poi,exclude,exclude,historic_architecture,,,exclude,,,,,candidate_exception,,0.78,True
ann_0173,Q28669574,Casa Bottelli,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0174,Q105266244,Casa Carboni Perego,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0175,Q28668289,Casa Celesia,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0176,Q24941543,Casa Cornaggia Medici,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0177,Q26258058,Casa Crotti,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0178,Q28669497,Casa Donzelli,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
ann_0179,Q17623939,Casa Milan,exclude,exclude,keep_poi,,,special_interest_attraction,exclude,,,,,candidate_exception,,0.79,True
ann_0180,Q28668066,Casa Moretti,exclude,exclude,exclude,,,,exclude,,,,,candidate_exception,,0.78,True
