id,latitudine,longitudine,Location,data,ora,temperatura_C,probabilita_precipitazioni,precipitazioni_mm,codice_wmo,velocita_vento_kmh,giorno_notte,descrizione,immagine,categoria,nome_dataset,last_update
11,45.46,9.18,"(45.46, 9.18)",2024-09-02,10:00,24.2,15,0,3,3.1,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
12,45.46,9.18,"(45.46, 9.18)",2024-09-02,11:00,25.7,3,0,1,1.8,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
13,45.46,9.18,"(45.46, 9.18)",2024-09-02,12:00,27.5,10,0,2,4.3,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
14,45.46,9.18,"(45.46, 9.18)",2024-09-02,13:00,28.2,8,0,2,7.1,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
15,45.46,9.18,"(45.46, 9.18)",2024-09-02,14:00,28.9,5,0,2,7.4,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
16,45.46,9.18,"(45.46, 9.18)",2024-09-02,15:00,28.6,8,0,3,11,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
17,45.46,9.18,"(45.46, 9.18)",2024-09-02,16:00,28.7,25,0,2,12.2,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
18,45.46,9.18,"(45.46, 9.18)",2024-09-02,17:00,28.6,28,0,1,12,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
19,45.46,9.18,"(45.46, 9.18)",2024-09-02,18:00,28.1,13,0,1,13,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
20,45.46,9.18,"(45.46, 9.18)",2024-09-02,19:00,27.1,15,0,1,12.5,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
21,45.46,9.18,"(45.46, 9.18)",2024-09-02,20:00,25.5,13,0,3,8.7,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
22,45.46,9.18,"(45.46, 9.18)",2024-09-02,21:00,24.1,8,0,2,4.5,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
23,45.46,9.18,"(45.46, 9.18)",2024-09-02,22:00,23.5,3,0,2,4.2,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
24,45.46,9.18,"(45.46, 9.18)",2024-09-02,23:00,22.8,5,0,1,4.2,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
25,45.46,9.18,"(45.46, 9.18)",2024-09-03,00:00,22.3,8,0,1,3.3,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
26,45.46,9.18,"(45.46, 9.18)",2024-09-03,01:00,21.8,8,0,1,4.4,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
27,45.46,9.18,"(45.46, 9.18)",2024-09-03,02:00,21.2,5,0,1,3.8,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
28,45.46,9.18,"(45.46, 9.18)",2024-09-03,03:00,20.8,0,0,1,3.6,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
29,45.46,9.18,"(45.46, 9.18)",2024-09-03,04:00,20.3,0,0,1,3.7,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
30,45.46,9.18,"(45.46, 9.18)",2024-09-03,05:00,19.9,0,0,1,3,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
31,45.46,9.18,"(45.46, 9.18)",2024-09-03,06:00,19.5,5,0,2,4,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
32,45.46,9.18,"(45.46, 9.18)",2024-09-03,07:00,19.3,3,0,1,4.1,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
33,45.46,9.18,"(45.46, 9.18)",2024-09-03,08:00,20,8,0,1,2.1,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
34,45.46,9.18,"(45.46, 9.18)",2024-09-03,09:00,22.2,13,0,0,2.6,1,Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
35,45.46,9.18,"(45.46, 9.18)",2024-09-03,10:00,24.4,10,0,0,4.8,1,Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
36,45.46,9.18,"(45.46, 9.18)",2024-09-03,11:00,26.1,18,0,0,4.8,1,Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
37,45.46,9.18,"(45.46, 9.18)",2024-09-03,12:00,27.6,8,0,0,4.4,1,Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
38,45.46,9.18,"(45.46, 9.18)",2024-09-03,13:00,28.7,8,0,2,4.3,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
39,45.46,9.18,"(45.46, 9.18)",2024-09-03,14:00,29.6,8,0,2,5.8,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
40,45.46,9.18,"(45.46, 9.18)",2024-09-03,15:00,29.9,8,0,1,7.9,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
41,45.46,9.18,"(45.46, 9.18)",2024-09-03,16:00,30.3,8,0,1,9,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
42,45.46,9.18,"(45.46, 9.18)",2024-09-03,17:00,30,5,0,1,8.6,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
43,45.46,9.18,"(45.46, 9.18)",2024-09-03,18:00,29.4,3,0,2,8.2,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
44,45.46,9.18,"(45.46, 9.18)",2024-09-03,19:00,28.4,3,0,3,7.1,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
45,45.46,9.18,"(45.46, 9.18)",2024-09-03,20:00,26.9,5,0,3,4.7,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
46,45.46,9.18,"(45.46, 9.18)",2024-09-03,21:00,26.1,7,0,2,3.4,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
47,45.46,9.18,"(45.46, 9.18)",2024-09-03,22:00,25.4,9,0,2,1.9,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
48,45.46,9.18,"(45.46, 9.18)",2024-09-03,23:00,24.5,13,0,3,6.1,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
49,45.46,9.18,"(45.46, 9.18)",2024-09-04,00:00,23.6,19,0,2,4.7,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
50,45.46,9.18,"(45.46, 9.18)",2024-09-04,01:00,23,26,0,2,2.3,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
51,45.46,9.18,"(45.46, 9.18)",2024-09-04,02:00,22.6,33,0,3,4.9,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
52,45.46,9.18,"(45.46, 9.18)",2024-09-04,03:00,22.2,39,0,3,5.2,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
53,45.46,9.18,"(45.46, 9.18)",2024-09-04,04:00,21.6,45,0,3,6,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
54,45.46,9.18,"(45.46, 9.18)",2024-09-04,05:00,21.1,48,0.2,3,6.2,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
55,45.46,9.18,"(45.46, 9.18)",2024-09-04,06:00,20.7,48,0.4,80,6.1,0,Light Showers,http://openweathermap.org/img/wn/09n@2x.png,meteo,Open-Meteo,"2024-09-02"
56,45.46,9.18,"(45.46, 9.18)",2024-09-04,07:00,20.5,47,0.1,3,4,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
57,45.46,9.18,"(45.46, 9.18)",2024-09-04,08:00,20.6,45,0.3,80,7.8,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
58,45.46,9.18,"(45.46, 9.18)",2024-09-04,09:00,21.4,43,0.2,80,6.6,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
59,45.46,9.18,"(45.46, 9.18)",2024-09-04,10:00,22.4,41,0.2,3,7.7,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
60,45.46,9.18,"(45.46, 9.18)",2024-09-04,11:00,23,38,0.2,80,6.6,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
61,45.46,9.18,"(45.46, 9.18)",2024-09-04,12:00,24.3,35,0,3,5.5,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
62,45.46,9.18,"(45.46, 9.18)",2024-09-04,13:00,25.2,31,0,3,6.5,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
63,45.46,9.18,"(45.46, 9.18)",2024-09-04,14:00,26.4,28,0,3,6.6,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
64,45.46,9.18,"(45.46, 9.18)",2024-09-04,15:00,27.3,25,0,3,5.6,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
65,45.46,9.18,"(45.46, 9.18)",2024-09-04,16:00,27.7,22,0,3,4.8,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
66,45.46,9.18,"(45.46, 9.18)",2024-09-04,17:00,27.8,20,0,3,4.6,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
67,45.46,9.18,"(45.46, 9.18)",2024-09-04,18:00,27.7,23,0,2,3.8,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
68,45.46,9.18,"(45.46, 9.18)",2024-09-04,19:00,27.2,22,0,3,4,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
69,45.46,9.18,"(45.46, 9.18)",2024-09-04,20:00,26,23,0,2,4.5,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
70,45.46,9.18,"(45.46, 9.18)",2024-09-04,21:00,24.7,24,0,3,5.2,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
71,45.46,9.18,"(45.46, 9.18)",2024-09-04,22:00,23.9,27,0,3,3.9,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
72,45.46,9.18,"(45.46, 9.18)",2024-09-04,23:00,23.2,30,0,1,3.9,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
73,45.46,9.18,"(45.46, 9.18)",2024-09-05,00:00,22.7,33,0,3,3.4,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
74,45.46,9.18,"(45.46, 9.18)",2024-09-05,01:00,22.4,36,0,3,3.5,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
75,45.46,9.18,"(45.46, 9.18)",2024-09-05,02:00,22,40,0,3,4.7,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
76,45.46,9.18,"(45.46, 9.18)",2024-09-05,03:00,21.5,44,0.6,3,3.9,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
77,45.46,9.18,"(45.46, 9.18)",2024-09-05,04:00,20.8,48,0.6,3,3.1,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
78,45.46,9.18,"(45.46, 9.18)",2024-09-05,05:00,20.4,53,0.6,3,2.2,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
79,45.46,9.18,"(45.46, 9.18)",2024-09-05,06:00,20.1,58,1.8,95,1.8,0,Thunderstorm,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
80,45.46,9.18,"(45.46, 9.18)",2024-09-05,07:00,20.1,62,1.8,95,3.6,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
81,45.46,9.18,"(45.46, 9.18)",2024-09-05,08:00,20.1,65,1.8,95,5.4,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
82,45.46,9.18,"(45.46, 9.18)",2024-09-05,09:00,20.2,67,2.6,95,6.6,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
83,45.46,9.18,"(45.46, 9.18)",2024-09-05,10:00,20.4,68,2.6,95,7.2,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
84,45.46,9.18,"(45.46, 9.18)",2024-09-05,11:00,20.6,69,2.6,95,7.9,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
85,45.46,9.18,"(45.46, 9.18)",2024-09-05,12:00,20.7,69,3.2,95,8,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
86,45.46,9.18,"(45.46, 9.18)",2024-09-05,13:00,20.7,69,3.2,95,8.2,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
87,45.46,9.18,"(45.46, 9.18)",2024-09-05,14:00,20.7,70,3.2,95,8.6,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
88,45.46,9.18,"(45.46, 9.18)",2024-09-05,15:00,20.7,71,3,95,10,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
89,45.46,9.18,"(45.46, 9.18)",2024-09-05,16:00,20.7,72,3,95,11.7,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
90,45.46,9.18,"(45.46, 9.18)",2024-09-05,17:00,20.7,73,3,95,13,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
91,45.46,9.18,"(45.46, 9.18)",2024-09-05,18:00,20.6,74,3.9,96,13,1,Light Thunderstorms With Hail,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
92,45.46,9.18,"(45.46, 9.18)",2024-09-05,19:00,20.5,75,3.9,96,12.3,1,Light Thunderstorms With Hail,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
93,45.46,9.18,"(45.46, 9.18)",2024-09-05,20:00,20.5,75,3.9,96,12.1,0,Light Thunderstorms With Hail,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
94,45.46,9.18,"(45.46, 9.18)",2024-09-05,21:00,20.6,74,4.4,96,12.7,0,Light Thunderstorms With Hail,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
95,45.46,9.18,"(45.46, 9.18)",2024-09-05,22:00,20.7,73,4.4,96,13.9,0,Light Thunderstorms With Hail,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
96,45.46,9.18,"(45.46, 9.18)",2024-09-05,23:00,20.8,72,4.4,96,14.7,0,Light Thunderstorms With Hail,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
97,45.46,9.18,"(45.46, 9.18)",2024-09-06,00:00,20.7,70,7,95,15.2,0,Thunderstorm,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
98,45.46,9.18,"(45.46, 9.18)",2024-09-06,01:00,20.6,69,7,95,15.3,0,Thunderstorm,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
99,45.46,9.18,"(45.46, 9.18)",2024-09-06,02:00,20.5,68,7,95,15.3,0,Thunderstorm,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
100,45.46,9.18,"(45.46, 9.18)",2024-09-06,03:00,20.4,68,3.2,80,15,0,Light Showers,http://openweathermap.org/img/wn/09n@2x.png,meteo,Open-Meteo,"2024-09-02"
101,45.46,9.18,"(45.46, 9.18)",2024-09-06,04:00,20.4,69,3.2,80,14.2,0,Light Showers,http://openweathermap.org/img/wn/09n@2x.png,meteo,Open-Meteo,"2024-09-02"
102,45.46,9.18,"(45.46, 9.18)",2024-09-06,05:00,20.3,70,3.2,80,13.4,0,Light Showers,http://openweathermap.org/img/wn/09n@2x.png,meteo,Open-Meteo,"2024-09-02"
103,45.46,9.18,"(45.46, 9.18)",2024-09-06,06:00,20,70,1.8,95,11.7,0,Thunderstorm,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
104,45.46,9.18,"(45.46, 9.18)",2024-09-06,07:00,19.6,71,1.8,95,10,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
105,45.46,9.18,"(45.46, 9.18)",2024-09-06,08:00,19.4,70,1.8,95,8.7,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
106,45.46,9.18,"(45.46, 9.18)",2024-09-06,09:00,19.6,68,1.1,95,8.4,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
107,45.46,9.18,"(45.46, 9.18)",2024-09-06,10:00,20.1,66,1.1,95,9,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
108,45.46,9.18,"(45.46, 9.18)",2024-09-06,11:00,20.7,62,1.1,95,9.2,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
109,45.46,9.18,"(45.46, 9.18)",2024-09-06,12:00,21.6,59,0.7,80,9,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
110,45.46,9.18,"(45.46, 9.18)",2024-09-06,13:00,22.6,56,0.7,80,9.1,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
111,45.46,9.18,"(45.46, 9.18)",2024-09-06,14:00,23.3,53,0.7,80,8.7,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
112,45.46,9.18,"(45.46, 9.18)",2024-09-06,15:00,23.4,50,0.8,80,8,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
113,45.46,9.18,"(45.46, 9.18)",2024-09-06,16:00,23.2,48,0.8,80,6.5,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
114,45.46,9.18,"(45.46, 9.18)",2024-09-06,17:00,22.8,45,0.8,80,5.5,1,Light Showers,http://openweathermap.org/img/wn/09d@2x.png,meteo,Open-Meteo,"2024-09-02"
115,45.46,9.18,"(45.46, 9.18)",2024-09-06,18:00,22.2,43,1.6,95,4.9,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
116,45.46,9.18,"(45.46, 9.18)",2024-09-06,19:00,21.5,41,1.6,95,4.2,1,Thunderstorm,http://openweathermap.org/img/wn/11d@2x.png,meteo,Open-Meteo,"2024-09-02"
117,45.46,9.18,"(45.46, 9.18)",2024-09-06,20:00,21,40,1.6,95,4,0,Thunderstorm,http://openweathermap.org/img/wn/11n@2x.png,meteo,Open-Meteo,"2024-09-02"
118,45.46,9.18,"(45.46, 9.18)",2024-09-06,21:00,21.2,39,0,1,3,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
119,45.46,9.18,"(45.46, 9.18)",2024-09-06,22:00,20.4,38,0,1,3.2,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
120,45.46,9.18,"(45.46, 9.18)",2024-09-06,23:00,19.8,37,0,1,3.7,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
121,45.46,9.18,"(45.46, 9.18)",2024-09-07,00:00,19.4,36,0,2,4,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
122,45.46,9.18,"(45.46, 9.18)",2024-09-07,01:00,19,36,0,2,4.2,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
123,45.46,9.18,"(45.46, 9.18)",2024-09-07,02:00,18.7,35,0,2,4.1,0,Partly Cloudy,http://openweathermap.org/img/wn/02n@2x.png,meteo,Open-Meteo,"2024-09-02"
124,45.46,9.18,"(45.46, 9.18)",2024-09-07,03:00,18.3,34,0,3,3.7,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
125,45.46,9.18,"(45.46, 9.18)",2024-09-07,04:00,18,33,0,3,3,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
126,45.46,9.18,"(45.46, 9.18)",2024-09-07,05:00,17.8,33,0,3,2.5,0,Cloudy,http://openweathermap.org/img/wn/03n@2x.png,meteo,Open-Meteo,"2024-09-02"
127,45.46,9.18,"(45.46, 9.18)",2024-09-07,06:00,17.6,32,0,1,2.5,0,Mainly Clear,http://openweathermap.org/img/wn/01n@2x.png,meteo,Open-Meteo,"2024-09-02"
128,45.46,9.18,"(45.46, 9.18)",2024-09-07,07:00,17.4,31,0,1,2.5,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
129,45.46,9.18,"(45.46, 9.18)",2024-09-07,08:00,17.7,30,0,1,2.5,1,Mainly Sunny,http://openweathermap.org/img/wn/01d@2x.png,meteo,Open-Meteo,"2024-09-02"
130,45.46,9.18,"(45.46, 9.18)",2024-09-07,09:00,18.8,30,0,2,2.3,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
131,45.46,9.18,"(45.46, 9.18)",2024-09-07,10:00,20.4,29,0,2,2,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
132,45.46,9.18,"(45.46, 9.18)",2024-09-07,11:00,21.9,28,0,2,1.3,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
133,45.46,9.18,"(45.46, 9.18)",2024-09-07,12:00,23,28,0,2,1.5,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
134,45.46,9.18,"(45.46, 9.18)",2024-09-07,13:00,23.9,28,0,2,5.4,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
135,45.46,9.18,"(45.46, 9.18)",2024-09-07,14:00,24.6,28,0,2,7.8,1,Partly Cloudy,http://openweathermap.org/img/wn/02d@2x.png,meteo,Open-Meteo,"2024-09-02"
136,45.46,9.18,"(45.46, 9.18)",2024-09-07,15:00,25.1,28,0,3,7.3,1,Cloudy,http://openweathermap.org/img/wn/03d@2x.png,meteo,Open-Meteo,"2024-09-02"
